AsBuilt_Name,Pages,Pipe_type
Lake Vista Dr 2911 Lake Vista Pointe Parking Expansion 2205-14,26,['Unknown' 'Good']
Lake Vista Dr Irrigation 2136B,4,['Unknown' 'Good']
Lake Vista Dr Villas At Lake Vista - Phase 2 2162-12,13,['Unknown' 'Good' 'Bad']
Lakeland Terrace 2059,6,['Good' 'Unknown']
Lakeland Terrace No,1,['Bad']
Lakepointe - Phase 4 2112,45,['Unknown' 'Good' 'Bad']
Lakepointe - Phases 1 2 & 3 2113,112,['Unknown' 'Good' 'Bad']
Lakepointe Dr 1991 Carquest Distribution Center 2039-08,12,['Unknown' 'Good']
Lakepointe Dr 2397 Custom Yachts 2578,6,['Unknown' 'Good']
Lakeside Cir 2401 Texas-New Mexico Substation 2659,2,['Unknown' 'Good']
Lakeside Cir 940 DCTA Hebron Station 2100-10,129,['Unknown' 'Good' 'Bad']
Lakeside Estate 2097,15,['Unknown' 'Bad']
Lakeview Distribution Center - Phases 1 & 2 Grading 2008-07,16,['Unknown']
Lakeway Dr 1402 Arcus Inc,1,['Unknown']
Lakeway Dr 1605 Broadtech Lakeway Dr Parking 2262-15,12,['Unknown' 'Good']
Lakeway Dr 1900 Lincoln Ridge 2313-16,28,['Unknown' 'Good']
Lakewood North Addition 2062,11,['Unknown' 'Good']
Lakewood North Addition No,1,['Good']
Lakewood North No,1,['Good']
Learning experience,1,['Unknown']
Leora Ln 301 Creekview 121 Building 1 & 2 - Phase 1 2292-16,35,['Unknown' 'Good' 'Bad']
Leora Ln 650 Bella Madera Apartments 2038-08,33,['Unknown' 'Good']
Leora Ln 850 Pine Prairie - Phase 2 Rosehill Apts 2242-15,29,['Unknown' 'Good']
Leora Ln 951 Pine Prairie Apartments - Phase 1 2170-13,29,['Unknown' 'Good']
Lewisville High School South Offsite Sanitary Sewer 2096-10,13,['Unknown' 'Good' 'Bad']
Lewisville Lake Park Toilet_Shower Facility No,1,['Good' 'Bad']
Lewisville Park Estates 2101,24,['Unknown' 'Good' 'Bad']
Lewisville Square 2653,3,['Good' 'Unknown']
Lewisville Towne Crossing - Super Target 2045-08,49,['Unknown' 'Good']
Lewisville Towne Crossing TxDOT Plans 2045-08,52,['Unknown' 'Good' 'Bad']
Lewisville Valley 3 Part 1 & 2  2003,30,['Unknown' 'Good']
Lewisville Valley 4 Section A 2004,30,['Unknown' 'Good' 'Bad']
Lewisville Valley 4 Section B - Phase 3 2006,16,['Unknown' 'Good' 'Bad']
Lewisville Valley 4 Section B - Phases 2 2A 2007,3,['Good' 'Unknown' 'Bad']
Lewisville Valley 4 Section B 2005,23,['Unknown']
Lewisville Valley 5 Section 1 2008,24,['Unknown' 'Bad' 'Good']
Lewisville Valley 5 Section 2 2009,16,['Unknown' 'Good']
Lewisville Valley 5 Section 3-A 3-B 3-C & 3-D 2010,36,['Unknown' 'Good' 'Bad']
Lewisville Valley 6-1 2011,30,['Unknown' 'Good']
Lewisville Valley 6-2 2012,21,['Unknown' 'Bad' 'Good']
Lewisville Valley 6-3 2013,26,['Unknown']
Lewisville Valley First Installment Part 2 2001,62,['Unknown' 'Bad' 'Good']
Lewisville Valley No,1,['Bad']
Lot 2R-B Counrty Ridge Driveway 2295-16,12,['Unknown' 'Good']
Lynn Ave 118 - Elite Medical - 2372-18,13,['Unknown' 'Good']
